dataset,flag,n,denominator,percent
retractions_only_all_years,po_results_conclusions,26886,64807,41.4863
retractions_only_all_years,po_image,10532,64807,16.2513
retractions_only_all_years,po_data,25133,64807,38.7813
retractions_only_all_years,po_availability_notice_status,21278,64807,32.8329
retractions_only_all_years,po_article_general,45014,64807,69.4585
retractions_only_all_years,po_legal_rights,43,64807,0.0664
retractions_only_all_years,po_authorship_affiliation,3777,64807,5.8281
retractions_only_all_years,po_ethics_welfare,2862,64807,4.4162
retractions_only_all_years,po_methods_materials,11630,64807,17.9456
retractions_only_all_years,gov_peer_review_compromised,11097,64807,17.1232
retractions_only_all_years,gov_peer_review_concern,11054,64807,17.0568
retractions_only_all_years,gov_journal_publisher_investigation,33400,64807,51.5376
retractions_only_all_years,third_party_investigation,19581,64807,30.2143
retractions_only_all_years,institutional_investigation,4926,64807,7.601
retractions_only_all_years,official_misconduct_process,2069,64807,3.1926
retractions_only_all_years,gov_journal_publisher_error,4003,64807,6.1768
retractions_only_all_years,gov_notice_opacity,34796,64807,53.6917
retractions_only_all_years,gov_removal_availability,6286,64807,9.6996
retractions_only_all_years,gov_editorial_breach_strict,3312,64807,5.1106
retractions_only_all_years,gov_paper_mill,11725,64807,18.0922
retractions_only_all_years,gov_ai_computer_content,9121,64807,14.0741
retractions_only_all_years,gov_publication_policy_or_sanction,6573,64807,10.1424
retractions_only_all_years,gov_correction_update_process,2629,64807,4.0567
retractions_only_all_years,gov_legal_process,930,64807,1.435
retractions_only_all_years,gov_authorship_publication_process,3863,64807,5.9608
retractions_only_all_years,gov_research_ethics_approval_process,3480,64807,5.3698
retractions_only_all_years,gov_content_reuse_or_duplication_process,30176,64807,46.5629
retractions_only_all_years,act_third_party,21077,64807,32.5227
retractions_only_all_years,act_unclear,41822,64807,64.5332
retractions_only_all_years,act_author,37029,64807,57.1373
retractions_only_all_years,act_journal_publisher,50160,64807,77.399
retractions_only_all_years,act_editor,5541,64807,8.55
retractions_only_all_years,act_ori_government,2057,64807,3.174
retractions_only_all_years,act_company_institution,5441,64807,8.3957
retractions_only_all_years,cat_research_content_reliability,42412,64807,65.4435
retractions_only_all_years,cat_attribution_authorship_disclosure_integrity,34849,64807,53.7735
retractions_only_all_years,cat_editorial_peer_review_governance,25996,64807,40.113
retractions_only_all_years,cat_post_publication_transparency_due_process_oversight,51352,64807,79.2384
retractions_only_all_years,maincat_research_content_reliability,42412,64807,65.4435
retractions_only_all_years,maincat_attribution_authorship_disclosure_integrity,34849,64807,53.7735
retractions_only_all_years,maincat_editorial_peer_review_governance,25547,64807,39.4201
retractions_only_all_years,maincat_post_publication_transparency_due_process_oversight,36512,64807,56.3396
retractions_2000_2025,po_text_article,18088,63623,28.43
retractions_2000_2025,po_references_attribution,15139,63623,23.7949
retractions_2000_2025,po_results_conclusions,26262,63623,41.2775
retractions_2000_2025,po_image,10316,63623,16.2143
retractions_2000_2025,po_data,24689,63623,38.8051
retractions_2000_2025,po_availability_notice_status,20867,63623,32.7979
retractions_2000_2025,po_article_general,44281,63623,69.599
retractions_2000_2025,po_legal_rights,26,63623,0.0409
retractions_2000_2025,po_authorship_affiliation,3696,63623,5.8092
retractions_2000_2025,po_ethics_welfare,2823,63623,4.4371
retractions_2000_2025,po_methods_materials,11445,63623,17.9888
retractions_2000_2025,gov_peer_review_compromised,10717,63623,16.8445
retractions_2000_2025,gov_peer_review_concern,11026,63623,17.3302
retractions_2000_2025,gov_journal_publisher_investigation,32605,63623,51.2472
retractions_2000_2025,third_party_investigation,19327,63623,30.3774
retractions_2000_2025,institutional_investigation,4704,63623,7.3936
retractions_2000_2025,official_misconduct_process,1999,63623,3.1419
retractions_2000_2025,gov_journal_publisher_error,3917,63623,6.1566
retractions_2000_2025,gov_notice_opacity,34238,63623,53.8139
retractions_2000_2025,gov_removal_availability,6157,63623,9.6773
retractions_2000_2025,gov_editorial_breach_strict,3104,63623,4.8787
retractions_2000_2025,gov_paper_mill,11722,63623,18.4242
retractions_2000_2025,gov_ai_computer_content,9102,63623,14.3061
retractions_2000_2025,gov_publication_policy_or_sanction,6539,63623,10.2777
retractions_2000_2025,gov_correction_update_process,2568,63623,4.0363
retractions_2000_2025,gov_legal_process,854,63623,1.3423
retractions_2000_2025,gov_authorship_publication_process,3781,63623,5.9428
retractions_2000_2025,gov_research_ethics_approval_process,3409,63623,5.3581
retractions_2000_2025,gov_content_reuse_or_duplication_process,29789,63623,46.8211
retractions_2000_2025,act_third_party,20733,63623,32.5873
retractions_2000_2025,act_unclear,40960,63623,64.3792
retractions_2000_2025,act_author,36345,63623,57.1256
retractions_2000_2025,act_journal_publisher,49161,63623,77.2692
retractions_2000_2025,act_editor,5284,63623,8.3052
retractions_2000_2025,act_ori_government,1988,63623,3.1247
retractions_2000_2025,act_company_institution,5218,63623,8.2014
retractions_2000_2025,cat_research_content_reliability,41581,63623,65.3553
retractions_2000_2025,cat_attribution_authorship_disclosure_integrity,34325,63623,53.9506
retractions_2000_2025,cat_editorial_peer_review_governance,25576,63623,40.1993
retractions_2000_2025,cat_post_publication_transparency_due_process_oversight,50405,63623,79.2245
retractions_2000_2025,maincat_research_content_reliability,41581,63623,65.3553
retractions_2000_2025,maincat_attribution_authorship_disclosure_integrity,34325,63623,53.9506
retractions_2000_2025,maincat_editorial_peer_review_governance,25128,63623,39.4952
retractions_2000_2025,maincat_post_publication_transparency_due_process_oversight,35712,63623,56.1306
